4K频道,#genre#
4K资源,http://www.aihaotv.cn/mtv/112.mp4

央视频道,#genre#
CCTV1,http://121.31.30.91:8081/ysten-business/live/hdcctv01/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/llhmg/2000210102.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226155/1.m3u8 #http://cctvalih5ca.v.myalicdn.com/live/cctv1_2/index.m3u8#http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8#http://61.160.152.55/live.aishang.ctlcdn.com/00000110240001_1/encoder/0/playlist.m3u8?CONTENTID=00000110240001_1#http://106.54.30.243/gz009/gz.php?id=cctv1hd#http://mszb198610.5ay.xyz/mszbgzgdtvcm98567.php?id=cctv1hd#http://112.50.243.8/PLTV/88888888/224/3221225812/1.m3u8 #http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8#http://1965.qwl1965.top/weili/gzyx.php?id=cctv1hd#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv1hd/2500/index.m3u8?ProgramID=&encrypt=
CCTV2,http://121.31.30.91:8081/ysten-business/live/cctv-2/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8#http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/llhmg/2000203602.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv2_2/index.m3u8#http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8#http://61.160.152.55/live.aishang.ctlcdn.com/00000110240002_1/encoder/0/playlist.m3u8?CONTENTID=00000110240002_1#http://106.54.30.243/gz009/gz.php?id=cctv2hd#http://mszb198610.5ay.xyz/mszbgzgdtvcm98567.php?id=cctv2hd#http://112.50.243.8/PLTV/88888888/224/3221225800/1.m3u8 #http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8#http://1965.qwl1965.top/weili/gzyx.php?id=cctv2hd#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv2hd/3000/index.m3u8?ProgramID=&encrypt=
CCTV3,http://121.31.30.91:8081/ysten-business/live/cctv-3/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8#http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/llhmg/2000203802.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv3_2/index.m3u8#http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8#http://61.160.152.55/live.aishang.ctlcdn.com/00000110240259_1/encoder/0/playlist.m3u8?CONTENTID=00000110240259_1#http://106.54.30.243/gz009/gz.php?id=cctv3hd#http://mszb198610.5ay.xyz/mszbgzgdtvcm98567.php?id=cctv3hd#http://112.50.243.8/PLTV/88888888/224/3221225801/1.m3u8 #http://111.40.205.87/PLTV/88888888/224/3221225606/index.m3u8#http://1965.qwl1965.top/weili/gzyx.php?id=cctv3hd#http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&ProgramID=&encrypt=
CCTV4,http://121.31.30.91:8081/ysten-business/live/cctv-4/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/llhmg/2000204802.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8#http://121.31.30.91:8081/ysten-business/live/cctv-4/1.m3u8#http://61.160.152.55/live.aishang.ctlcdn.com/00000110240005_1/encoder/0/playlist.m3u8?CONTENTID=00000110240005_1#http://106.54.30.243/gz009/gz.php?id=cctv4hd#http://mszb198610.5ay.xyz/mszbgzgdtvcm98567.php?id=cctv4hd#http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8 #http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#http://1965.qwl1965.top/weili/gzyx.php?id=cctv4hd#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv4hd/3000/index.m3u8?ProgramID=&encrypt=
CCTV5,http://121.31.30.91:8081/ysten-business/live/cctv-5/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/llhmg/2000205102.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226340/1.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv5_2/index.m3u8#http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8#http://61.160.152.55/live.aishang.ctlcdn.com/00000110240260_1/encoder/0/playlist.m3u8?CONTENTID=00000110240260_1#http://106.54.30.243/gz009/gz.php?id=cctv5hd#http://mszb198610.5ay.xyz/mszbgzgdtvcm98567.php?id=cctv5hd#http://112.50.243.8/PLTV/88888888/224/3221226560/1.m3u8 #http://fuck.elibei.com/wzdl.php?qq1658083247&play&vkeys=dmlkJTNEaXB0djIwMjAlMjN0aWQlM0R5cyUyM2lkJTNENQ__#http://1965.qwl1965.top/weili/gzyx.php?id=cctv5hd#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv5hdnew/2500/index.m3u8?ProgramID=&encrypt=
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8#http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/llhmg/2000204502.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225938/1.m3u8 #http://106.54.30.243/gz009/gz.php?id=cctv5+hd#http://112.50.243.8/PLTV/88888888/224/3221225821/1.m3u8 #http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8#http://117.59.8.4/PLTV/88888888/224/3221227195/index.m3u8#http://125.210.152.18:9090/live/TYSSHD.m3u8#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?ProgramID=&encrypt=
CCTV6,http://121.31.30.91:8081/ysten-business/live/cctv-6/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8#http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/llhmg/2000203302.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv6_2/index.m3u8#http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8#http://61.160.152.55/live.aishang.ctlcdn.com/00000110240261_1/encoder/0/playlist.m3u8?CONTENTID=00000110240261_1#http://106.54.30.243/gz009/gz.php?id=cctv6hd#http://mszb198610.5ay.xyz/mszbgzgdtvcm98567.php?id=cctv6hd#http://112.50.243.8/PLTV/88888888/224/3221225804/1.m3u8 #http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?ProgramID=&encrypt= CCTV6电影HD#http://1965.qwl1965.top/weili/gzyx.php?id=cctv6hd#http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?ProgramID=&encrypt=
